prenom;nom;login;ECTSacquis;Moyenne;Choix1;Choix2;Choix3;Choix4;Choix5;Choix6;Choix7;Choix8;mdp;dateNaissance;adresse
Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17;417;IAC;HPDA;IAP;BI;VISUA;ICC;INEM;CS;Wg8S8P0b;26/04/1996;
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;30;16;946;ICC;IAP;HPDA;IAC;VISUA;INEM;CS;BI;UUefpsvD;08/04/1996;
Susan;Sauvage;SusanSauvage@cy-tech.fr;30;16;742;IAC;BI;HPDA;IAP;ICC;CS;INEM;VISUA;NnzzRFkh;18/09/1995;
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;30;16;662;BI;IAC;CS;VISUA;ICC;INEM;HPDA;IAP;usw8ccE9;03/05/1996;
Michel;Levy;MichelLevy@cy-tech.fr;30;16;572;IAC;IAP;CS;ICC;INEM;VISUA;HPDA;BI;sM1BC1Nx;22/07/1995;
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;30;16;54;IAC;IAP;HPDA;BI;CS;VISUA;ICC;INEM;W1MluiZh;10/01/1996;
Marthe;Seguin;MartheSeguin@cy-tech.fr;30;16;529;CS;ICC;IAP;IAC;INEM;VISUA;BI;HPDA;GyQyebPI;30/09/1996;
Noël;Jacquet;NoëlJacquet@cy-tech.fr;30;16;427;CS;ICC;INEM;IAP;HPDA;IAC;VISUA;BI;DmRQyvZ1;19/04/1996;
Monique;Mallet;MoniqueMallet@cy-tech.fr;30;16;333;IAP;ICC;IAC;INEM;VISUA;CS;HPDA;BI;i1DV3qsZ;01/07/1995;
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;30;16;301;CS;HPDA;IAC;IAP;INEM;VISUA;ICC;BI;sflWylee;17/03/1996;
François;Herve;FrançoisHerve@cy-tech.fr;30;16;26;INEM;CS;ICC;VISUA;IAP;IAC;HPDA;BI;T5M8gCQU;18/11/1995;
Marine;Hamel;MarineHamel@cy-tech.fr;30;16;199;IAC;CS;HPDA;BI;IAP;ICC;INEM;VISUA;YIKxdKyw;07/01/1996;
Caroline;Marie;CarolineMarie@cy-tech.fr;30;16;129;INEM;VISUA;IAC;CS;IAP;ICC;HPDA;BI;MbrPBTP4;29/08/1996;
